,상품명,가격,상품평 수
235,"곰곰 국내산 절단대파, 500g, 1개",2180,690
236,"햇 양파, 1.5kg, 1개",2780,3746
237,"곰곰 100% 우리콩 순두부, 400g, 2팩",2850,873
238,"대만식 샌드위치 트리플베리, 70g, 4개",7900,150
239,"곰곰 건강한 밥 도시락 (냉동), 260g, 6개",19000,3711
240,"곰곰 배추 김치, 10kg, 1개",14490,6178
241,"롯데제과 마가렛트 오리지널, 396g, 1개",3290,2340
242,"농심 올리브짜파게티 5봉, 140g, 5개",3300,17348
243,"파스퇴르 무항생제 바른목장우유, 1.8L, 1개",5740,2043
244,"곰곰 당도선별 성주 꼬마참외, 2kg, 1봉",12290,398
245,"모아미트 미국산 구이용 우삼겹 (냉동), 800g, 1개",11900,4292
246,"국내산 깐 양파, 1kg, 1봉",3650,3119
247,"벨기안 슈가 와플 20개입 (냉동), 1100g, 1개",12960,999
248,"곰곰 한돈 앞다리살 수육용 1000g (냉장), 1개",12990,131
249,"풀무원 매일아침 하트연두부 6개입, 708g, 1세트",9160,2504
250,"곰곰 미국산 시즈닝 살치살 (냉장), 400g, 1개",15990,87
251,"곰곰 제주 흑돼지 불고기 (냉동), 1200g, 1개",10900,314
252,"셰프초이스 국내산 양념돼지갈비 (냉장), 1kg, 1개",12900,3669
253,"풍요한아침 짜먹는 감자 에그 샐러드, 1kg, 1개",12420,3443
254,"던킨 바바리안 듬뿍 미니도넛 (냉동), 25g, 10개",6900,109
255,"이어수산 볶음용 멸치 (냉동), 500g, 1봉",12800,163
256,"뉴질랜드 단호박, 500g 이상, 2통",3280,1273
257,"매일우유 소화가 잘되는 우유, 930ml, 2개",5900,4501
258,"클린24시간 탄수화물 차단 다이어트 쾌변 보조 식품, 100ml, 5개입",23800,52
259,"액티비아 0% 요거트 플레인 화이트, 90g, 8개",3610,667
260,"서울우유 슈레드 모짜렐라 치즈, 1kg, 1개",9710,1832
261,"감동란 반숙계란 15구, 750g, 1개",10200,2282
262,"곰곰 왕돈까스 330g + 소스 150g (냉동), 480g, 2세트",11700,3146
263,"동죽조개, 800g, 1봉",4990,404
264,"곰곰 호주산 소고기 치마살 구이용 (냉장), 300g, 1개",12900,576
265,"곰곰 국산 우리콩두부, 300g, 2팩",3880,870
266,"월드콘 바닐라 아이스크림 (냉동), 160ml, 24개",15000,1266
267,"풀무원 국산콩 두부 부침용 300g + 찌개용 300g, 1세트",4180,5739
268,"손질배추, 1kg, 1개",2780,998
269,"곰곰 고구마말랭이, 80g, 5개입",9310,567
